App_Name,Icon_Path,New_Icon_Path
Visual Studio Code,/Applications/Visual Studio Code.app/Contents/Resources/Code.icns,/Users/diegoibarra/Pictures/2. Icons/0. Icons/AppIcons/vscode/app_icon.icns
Spotify,/Applications/Spotify.app/Contents/Resources/Icon.icns,/Users/diegoibarra/Pictures/2. Icons/0. Icons/AppIcons/spotify/_icon_spotify.icns
