GAMENAME, CONTENT ID (OR ISO LINK), RAP FILE LINK, PKG FILE LINK [DO NOT DELETE HEADERS] 
Call of Duty - Modern Warfare 3, UP0002-NPUB30787_00-MW3FULLGAMEDL001, https://nopaystation.com/tools/rap2file/UP0002-NPUB30787_00-MW3FULLGAMEDL001/8C37BCA4F7B5FB490A8A0ED233DE8CC8, https://nopaystation.com/get/PS3/NPUB30787/MW3FULLGAMEDL001/1.19/pkg?version=1
Uncharted - Drake's Fortune, UP9000-NPUA80697_00-UNCHARTED1PCKG01, https://nopaystation.com/tools/rap2file/UP9000-NPUA80697_00-UNCHARTED1PCKG01/BC959B334061F7E7C7C118608F7301BD, https://nopaystation.com/get/PS3/NPUA80697/UNCHARTED1PCKG01/1.02/pkg?version=1
Uncharted 2 - Among Thieves, UP9000-NPUA80698_00-UNCHARTED2PCKG01, https://nopaystation.com/tools/rap2file/UP9000-NPUA80698_00-UNCHARTED2PCKG01/FC426F52C75B4D295C280D41F44F049C, https://nopaystation.com/get/PS3/NPUA80698/UNCHARTED2PCKG01/1.1/pkg?version=1
LittleBigPlanet 3, UP9000-NPUA81116_00-LBP3GAME00000001, https://nopaystation.com/tools/rap2file/UP9000-NPUA81116_00-LBP3GAME00000001/6542F61FFB660B5735AFBC216AEAC322, https://nopaystation.com/get/PS3/NPUA81116/LBP3GAME00000001/1/pkg?version=1.01
